scenario,sims,irr_mean,irr_p50,irr_p05,irr_p95,equity_multiple_mean,downside_prob_irr_lt_0,downside_prob_irr_lt_hurdle,refinance_failure_prob,covenant_breach_prob,cvar_5_irr
base,100,0.15001850790552385,0.18124040110633965,-0.24048688435626722,0.28448158302245324,3.0633984286777682,0.09090909090909091,0.30303030303030304,0.1,0.72,-0.33166949282383235
stress,100,-0.14456721923776727,-0.025658542281746743,-0.6032915149941617,0.14378332321827011,0.9095547830551013,0.5057471264367817,0.9195402298850575,0.52,0.94,-0.7228817420320199
severe,100,-0.4007191379037157,-0.3923584342845522,-0.7200348378335328,0.0003439617553805917,0.20674803632928349,0.9491525423728814,1.0,0.96,0.98,-0.8460351430548956
